element_id,category,level_name,phase_created
439356,Structural Foundations,Foundation,00_Substructure
439357,Structural Foundations,Foundation,00_Substructure
439358,Structural Foundations,Foundation,00_Substructure
439359,Structural Foundations,Foundation,00_Substructure
439360,Structural Foundations,Foundation,00_Substructure
439361,Structural Foundations,Foundation,00_Substructure
439362,Structural Foundations,Foundation,00_Substructure
439363,Structural Foundations,Foundation,00_Substructure
439364,Structural Foundations,Foundation,00_Substructure
439365,Structural Foundations,Foundation,00_Substructure
439366,Structural Foundations,Foundation,00_Substructure
439367,Structural Foundations,Foundation,00_Substructure
439368,Structural Foundations,Foundation,00_Substructure
439369,Structural Foundations,Foundation,00_Substructure
439370,Structural Foundations,Foundation,00_Substructure
439371,Structural Foundations,Foundation,00_Substructure
439372,Structural Foundations,Foundation,00_Substructure
439373,Structural Foundations,Foundation,00_Substructure
439374,Structural Foundations,Foundation,00_Substructure
439375,Structural Foundations,Foundation,00_Substructure
438975,Structural Columns,Foundation,00_Substructure
438976,Structural Columns,Foundation,00_Substructure
438977,Structural Columns,Foundation,00_Substructure
438978,Structural Columns,Foundation,00_Substructure
438979,Structural Columns,Foundation,00_Substructure
438980,Structural Columns,Foundation,00_Substructure
438981,Structural Columns,Foundation,00_Substructure
438982,Structural Columns,Foundation,00_Substructure
438983,Structural Columns,Foundation,00_Substructure
438984,Structural Columns,Foundation,00_Substructure
438985,Structural Columns,Foundation,00_Substructure
438986,Structural Columns,Foundation,00_Substructure
438987,Structural Columns,Foundation,00_Substructure
438988,Structural Columns,Foundation,00_Substructure
438989,Structural Columns,Foundation,00_Substructure
438990,Structural Columns,Foundation,00_Substructure
438991,Structural Columns,Foundation,00_Substructure
438992,Structural Columns,Foundation,00_Substructure
438993,Structural Columns,Foundation,00_Substructure
438994,Structural Columns,Foundation,00_Substructure
459949,Floors,GF,01_Substructure
446149,Structural Columns,GF,10_L1_Verticals
447470,Structural Columns,GF,10_L1_Verticals
447506,Structural Columns,GF,10_L1_Verticals
447546,Structural Columns,GF,10_L1_Verticals
447690,Structural Columns,GF,10_L1_Verticals
447691,Structural Columns,GF,10_L1_Verticals
447692,Structural Columns,GF,10_L1_Verticals
447693,Structural Columns,GF,10_L1_Verticals
447852,Structural Columns,GF,10_L1_Verticals
447853,Structural Columns,GF,10_L1_Verticals
447854,Structural Columns,GF,10_L1_Verticals
447855,Structural Columns,GF,10_L1_Verticals
447892,Structural Columns,GF,10_L1_Verticals
447893,Structural Columns,GF,10_L1_Verticals
447894,Structural Columns,GF,10_L1_Verticals
447895,Structural Columns,GF,10_L1_Verticals
447923,Structural Columns,GF,10_L1_Verticals
447924,Structural Columns,GF,10_L1_Verticals
