zone_order,level_order,stage,level_name,zone,element_id,category,effective_category,zmin
1,0,1001009993602439356,Foundation,ZONE_ALL,439356,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439357,Foundation,ZONE_ALL,439357,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439358,Foundation,ZONE_ALL,439358,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439359,Foundation,ZONE_ALL,439359,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439360,Foundation,ZONE_ALL,439360,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439361,Foundation,ZONE_ALL,439361,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439362,Foundation,ZONE_ALL,439362,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439363,Foundation,ZONE_ALL,439363,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439364,Foundation,ZONE_ALL,439364,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439365,Foundation,ZONE_ALL,439365,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439366,Foundation,ZONE_ALL,439366,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439367,Foundation,ZONE_ALL,439367,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439368,Foundation,ZONE_ALL,439368,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439369,Foundation,ZONE_ALL,439369,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439370,Foundation,ZONE_ALL,439370,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439371,Foundation,ZONE_ALL,439371,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439372,Foundation,ZONE_ALL,439372,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439373,Foundation,ZONE_ALL,439373,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439374,Foundation,ZONE_ALL,439374,Structural Foundations,FOOTING,-6.39763779528
1,0,1001009993602439375,Foundation,ZONE_ALL,439375,Structural Foundations,FOOTING,-6.39763779528
1,0,1001019995079438975,Foundation,ZONE_ALL,438975,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438976,Foundation,ZONE_ALL,438976,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438977,Foundation,ZONE_ALL,438977,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438978,Foundation,ZONE_ALL,438978,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438979,Foundation,ZONE_ALL,438979,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438980,Foundation,ZONE_ALL,438980,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438981,Foundation,ZONE_ALL,438981,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438982,Foundation,ZONE_ALL,438982,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438983,Foundation,ZONE_ALL,438983,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438984,Foundation,ZONE_ALL,438984,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438985,Foundation,ZONE_ALL,438985,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438986,Foundation,ZONE_ALL,438986,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438987,Foundation,ZONE_ALL,438987,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438988,Foundation,ZONE_ALL,438988,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438989,Foundation,ZONE_ALL,438989,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438990,Foundation,ZONE_ALL,438990,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438991,Foundation,ZONE_ALL,438991,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438992,Foundation,ZONE_ALL,438992,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438993,Foundation,ZONE_ALL,438993,Structural Columns,COLUMN,-4.92125984252
1,0,1001019995079438994,Foundation,ZONE_ALL,438994,Structural Columns,COLUMN,-4.92125984252
1,1,1002020000000446149,GF,ZONE_ALL,446149,Structural Columns,COLUMN,0.0
